menu_name,mlid,plid,link_path,router_path,link_title,options,module,hidden,external,has_children,expanded,weight,depth,customized,p1,p2,p3,p4,p5,p6,p7,p8,p9,updated
management,293,277,admin/config/search/xmlsitemap/add,admin/config/search/xmlsitemap/add,Add new XML sitemap,"b'a:1:{s:5:""modal"";b:1;}'",system,-1,0,0,0,0,5,0,1,7,43,277,293,0,0,0,0,0
management,294,284,admin/config/search/metatags/config/%,admin/config/search/metatags/config/%,,b'a:0:{}',system,0,0,1,0,0,6,0,1,7,43,274,284,294,0,0,0,0
management,295,284,admin/config/search/metatags/config/add,admin/config/search/metatags/config/add,Add a Metatag default,b'a:0:{}',system,-1,0,0,0,0,6,0,1,7,43,274,284,295,0,0,0,0
management,296,290,admin/config/search/search_api/page/add,admin/config/search/search_api/page/add,Add search page,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:22:""Add a new search page."";}}'",system,-1,0,0,0,0,6,0,1,7,43,276,290,296,0,0,0,0
management,297,290,admin/config/search/search_api/page/%,admin/config/search/search_api/page/%,Edit search page,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:34:""Configure or delete a search page."";}}'",system,0,0,0,0,0,6,0,1,7,43,276,290,297,0,0,0,0
management,298,276,admin/config/search/search_api/index/%,admin/config/search/search_api/index/%,View index,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:19:""View index details."";}}'",system,0,0,0,0,0,5,0,1,7,43,276,298,0,0,0,0,0
management,299,276,admin/config/search/search_api/server/%,admin/config/search/search_api/server/%,View server,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:20:""View server details."";}}'",system,0,0,0,0,0,5,0,1,7,43,276,299,0,0,0,0,0
management,300,277,admin/config/search/xmlsitemap/delete/%,admin/config/search/xmlsitemap/delete/%,Delete XML sitemap,b'a:0:{}',system,0,0,0,0,0,5,0,1,7,43,277,300,0,0,0,0,0
management,301,277,admin/config/search/xmlsitemap/edit/%,admin/config/search/xmlsitemap/edit/%,Edit XML sitemap,b'a:0:{}',system,0,0,0,0,0,5,0,1,7,43,277,301,0,0,0,0,0
management,302,298,admin/config/search/search_api/index/%/delete,admin/config/search/search_api/index/%/delete,Delete,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:13:""Delete index."";}}'",system,-1,0,0,0,10,6,0,1,7,43,276,298,302,0,0,0,0
